Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,label
192.168.220.130-192.168.220.1-80-62352-6,192.168.220.1,62352,192.168.220.130,80,6,28-04-2025 15:28,2004541,4,6,0,0,0,0,0,0,0,0,0,0,0,4.988673217,222726.7778,264020.5841,501655,12,1502823,500941,308.5239051,501263,500648,2004541,400908.2,224093.5151,501667,38,0,0,0,0,128,132,1.995469287,2.99320393,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,6,0,-1,0,0,0,0,0,0,0,0,0,0,0,Attack,1
175.100.184.18-192.168.220.130-80-35080-6,175.100.184.18,80,192.168.220.130,35080,6,28-04-2025 15:49,9580,1,1,0,0,0,0,0,0,0,0,0,0,0,208.7682672,9580,0,9580,9580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,104.3841336,104.3841336,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,64239,0,0,0,0,0,0,0,0,0,0,normal,0
192.168.220.130-192.168.220.1-80-57818-6,192.168.220.1,57818,192.168.220.130,80,6,28-04-2025 15:27,2005461,4,6,0,0,0,0,0,0,0,0,0,0,0,4.986384677,222829,264213.6031,501951,10,1504866,501622,540.1675666,501983,501001,2005461,401092.2,224212.534,501982,10,0,0,0,0,128,132,1.994553871,2.991830806,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,6,0,-1,0,0,0,0,0,0,0,0,0,0,0,Attack,1
142.250.192.78-192.168.220.130-443-34110-6,142.250.192.78,443,192.168.220.130,34110,6,28-04-2025 15:47,7309,2,2,31,0,31,0,15.5,21.92031022,0,0,0,0,4241.346285,547.2704884,2436.333333,3805.751218,6826,63,6826,6826,0,6826,6826,7309,7309,0,7309,7309,0,0,0,0,40,40,273.6352442,273.6352442,0,31,6.2,13.86362146,192.2,0,0,0,0,1,0,0,0,1,7.75,15.5,0,0,0,0,0,0,0,2,31,2,0,-1,0,1,0,0,0,0,0,0,0,0,0,normal,0
192.168.220.130-23.9.220.6-47528-80-6,192.168.220.130,47528,23.9.220.6,80,6,28-04-2025 15:49,11042493,5,5,416,871,416,0,83.2,186.0408557,871,0,174.2,389.5230417,116.5497682,0.905592605,1226943.667,3307965.725,10000000,59,11000000,2757870.75,4853387.943,10000000,4365,11000000,2760623.25,5503245.072,11000000,5456,0,0,0,0,100,124,0.452796302,0.452796302,0,871,117,279.4848833,78111.8,0,1,0,0,0,0,0,0,1,128.7,83.2,174.2,0,0,0,0,0,0,5,416,5,871,-1,64240,1,0,27185,0,27185,27185,10000000,0,10000000,10000000,normal,0
142.251.42.100-192.168.220.130-443-37723-17,192.168.220.130,37723,142.251.42.100,443,17,28-04-2025 15:47,7607873,160,694,41040,792177,1357,30,256.5,425.2609853,1357,24,1141.465418,461.8947593,109520.3613,112.2521367,8918.960141,77476.04349,1487558,-26,7582209,47686.84906,177002.4901,1498514,90,7586013,10946.62771,87817.60929,1500635,0,0,0,0,0,1280,5552,21.03084528,91.22129142,24,1357,976.1099415,571.1433638,326204.742,0,0,0,0,0,0,0,0,4,977.2529274,256.5,1141.465418,0,0,0,0,0,0,160,41040,694,792177,-1,-1,160,0,0,0,0,0,0,0,0,0,normal,0
192.168.220.130-192.168.220.1-80-60364-6,192.168.220.1,60364,192.168.220.130,80,6,28-04-2025 15:27,2005956,4,6,0,0,0,0,0,0,0,0,0,0,0,4.985154211,222884,264267.4348,502397,28,1504995,501665,678.7834706,502426,501122,2005956,401191.2,224251.6517,502431,39,0,0,0,0,128,132,1.994061684,2.991092526,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,6,0,-1,0,0,0,0,0,0,0,0,0,0,0,Attack,1
192.168.220.130-192.168.220.1-80-60397-6,192.168.220.1,60397,192.168.220.130,80,6,28-04-2025 15:27,2004365,4,6,0,0,0,0,0,0,0,0,0,0,0,4.989111265,222707.2222,264057.9551,501930,31,1502365,500788.3333,693.0117844,501581,500297,2004365,400873,224074.1212,501961,39,0,0,0,0,128,132,1.995644506,2.993466759,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,6,0,-1,0,0,0,0,0,0,0,0,0,0,0,Attack,1
175.100.184.8-192.168.220.130-80-34124-6,175.100.184.8,80,192.168.220.130,34124,6,28-04-2025 15:49,8781,1,1,0,0,0,0,0,0,0,0,0,0,0,227.7644915,8781,0,8781,8781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,113.8822458,113.8822458,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,64239,0,0,0,0,0,0,0,0,0,0,normal,0
192.168.220.130-192.168.220.2-55659-53-17,192.168.220.130,55659,192.168.220.2,53,17,28-04-2025 15:47,19682,1,3,57,287,57,57,57,0,121,57,95.66666667,34.01960219,17477.89859,203.2313789,6560.666667,10153.5197,18267,146,0,0,0,0,0,19682,9841,12122.63866,18413,1269,0,0,0,0,8,24,50.80784473,152.4235342,57,121,80.2,32.049961,1027.2,0,0,0,0,0,0,0,0,3,100.25,57,95.66666667,0,0,0,0,0,0,1,57,3,287,-1,-1,1,0,0,0,0,0,0,0,0,0,normal,0
192.168.220.130-192.168.220.2-35709-53-17,192.168.220.130,35709,192.168.220.2,53,17,28-04-2025 15:47,20393,1,3,32,140,32,32,32,0,60,32,46.66666667,14.04753834,8434.26666,196.1457363,6797.666667,11594.2372,20185,0,0,0,0,0,0,20393,10196.5,14420.02859,20393,0,0,0,0,0,8,24,49.03643407,147.1093022,32,60,40.8,12.77497554,163.2,0,0,0,0,0,0,0,0,3,51,32,46.66666667,0,0,0,0,0,0,1,32,3,140,-1,-1,1,0,0,0,0,0,0,0,0,0,normal,0
142.250.183.110-192.168.220.130-443-55256-6,192.168.220.130,55256,142.250.183.110,443,6,28-04-2025 15:47,482880,32,32,1242,79008,517,0,38.8125,111.4165209,18041,0,2469,3714.704026,166190.3579,132.5381047,7664.761905,23007.19262,144523,0,472844,15253.03226,31787.47307,145421,67,482524,15565.29032,34699.68275,144523,0,0,0,0,0,640,664,66.26905235,66.26905235,0,18041,1234.615385,2861.915064,8190557.834,0,1,0,0,0,0,0,0,1,1253.90625,38.8125,2469,0,0,0,0,0,0,32,1242,32,79008,-1,64240,8,0,0,0,0,0,0,0,0,0,normal,0
192.168.220.130-23.9.220.6-38718-80-6,23.9.220.6,80,192.168.220.130,38718,6,28-04-2025 15:49,9899,1,1,0,0,0,0,0,0,0,0,0,0,0,202.0406102,9899,0,9899,9899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,101.0203051,101.0203051,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,64239,0,0,0,0,0,0,0,0,0,0,normal,0
188.245.96.240-192.168.220.130-443-59392-6,192.168.220.130,59392,188.245.96.240,443,6,28-04-2025 15:49,12282553,10,10,1932,4426,1335,0,193.2,432.3902044,2470,0,442.6,818.9755389,517.6448251,1.628325968,646450.1579,2286058.1,10000000,22,12100000,1349780.667,3270980.541,10000000,2350,12300000,1364728.111,3636765.476,11100000,2116,0,0,0,0,200,224,0.814162984,0.814162984,0,2470,302.7619048,637.4319497,406319.4905,0,1,0,0,0,0,0,0,1,317.9,193.2,442.6,0,0,0,0,0,0,10,1932,10,4426,-1,64240,3,0,1226591,0,1226591,1226591,10000000,0,10000000,10000000,normal,0
142.250.192.78-192.168.220.130-443-52578-17,192.168.220.130,52578,142.250.192.78,443,17,28-04-2025 15:49,139528,5,8,397,4920,113,71,79.4,18.78297101,1357,27,615,643.2238002,38107.04661,93.17126312,11627.33333,13369.86564,39223,0,53144,13286,2827.920202,17293,10746,138643,19806.14286,16026.19377,39223,0,0,0,0,0,40,64,35.8351012,57.33616192,27,1357,476.7142857,595.8025523,354980.6813,0,0,0,0,0,0,0,0,1,513.3846154,79.4,615,0,0,0,0,0,0,5,397,8,4920,-1,-1,5,0,0,0,0,0,0,0,0,0,normal,0
192.168.220.130-192.168.220.1-80-63475-6,192.168.220.1,63475,192.168.220.130,80,6,28-04-2025 15:28,2009941,4,6,0,0,0,0,0,0,0,0,0,0,0,4.975270418,223326.7778,264757.0045,504394,31,1507708,502569.3333,1662.098774,504454,501313,2009941,401988.2,224653.716,504425,121,0,0,0,0,128,132,1.990108167,2.985162251,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,6,0,-1,0,0,0,0,0,0,0,0,0,0,0,Attack,1
192.168.220.130-192.168.220.1-80-63590-6,192.168.220.1,63590,192.168.220.130,80,6,28-04-2025 15:28,2004648,4,6,0,0,0,0,0,0,0,0,0,0,0,4.988406942,222738.6667,264076.9483,501633,8,1504133,501377.6667,379.2325584,501641,500943,2004648,400929.6,224116.7778,501642,18,0,0,0,0,128,132,1.995362777,2.993044165,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,6,0,-1,0,0,0,0,0,0,0,0,0,0,0,Attack,1
192.168.220.130-52.25.174.173-44840-443-6,192.168.220.130,44840,52.25.174.173,443,6,28-04-2025 15:47,1167877,7,8,1782,3415,1108,0,254.5714286,419.9491466,3098,0,426.875,1083.195199,4449.954918,12.84381831,83419.78571,131666.1943,287205,82,890372,148395.3333,155849.4842,294908,224,1165337,166476.7143,146530.1249,287205,5588,0,0,0,0,140,184,5.993781879,6.850036434,0,3098,324.8125,795.6004205,632980.0292,0,1,0,0,0,0,0,0,1,346.4666667,254.5714286,426.875,0,0,0,0,0,0,7,1782,8,3415,-1,64240,4,0,0,0,0,0,0,0,0,0,normal,0
